MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad
43196.759999999995,2012,AL,1,22.2,77.89999999999999
43370.189999999995,2012,AL,2,21.6,78.3
43306.74,2012,AL,3,20.200000000000003,79.7
42381.78,2012,AL,4,15.2,84.7
47831.43,2012,AL,5,30.1,69.9
52853.85,2012,AL,6,34.0,66.0
38101.02,2012,AL,7,19.0,81.0
58216.079999999994,2012,AK,0,28.0,71.9
44568.689999999995,2012,AZ,1,23.1,76.8
43561.95,2012,AZ,2,32.2,67.8
38453.52,2012,AZ,3,15.7,84.3
40641.84,2012,AZ,4,18.7,81.4
57446.219999999994,2012,AZ,5,33.0,66.89999999999999
56964.0,2012,AZ,6,41.5,58.5
35692.74,2012,AZ,7,14.4,85.60000000000001
52942.68,2012,AZ,8,27.7,72.3
50599.259999999995,2012,AZ,9,35.9,64.10000000000001
38361.869999999995,2012,AR,1,15.1,84.80000000000001
47588.909999999996,2012,AR,2,28.3,71.8
41709.21,2012,AR,3,23.9,75.99999999999999
39544.86,2012,AR,4,16.6,83.4
42873.869999999995,2012,CA,1,22.0,78.1
52134.75,2012,CA,2,38.9,61.1
50820.63,2012,CA,3,23.8,76.1
56553.689999999995,2012,CA,4,30.3,69.7
52078.35,2012,CA,5,29.2,70.9
46154.939999999995,2012,CA,6,25.3,74.69999999999999
57395.46,2012,CA,7,31.2,68.89999999999999
45488.009999999995,2012,CA,8,14.5,85.5
46243.77,2012,CA,9,20.1,80.0
45361.11,2012,CA,10,16.8,83.1
63743.28,2012,CA,11,41.5,58.4
71905.76999999999,2012,CA,12,55.099999999999994,44.89999999999999
57045.78,2012,CA,13,44.900000000000006,55.099999999999994
63754.56,2012,CA,14,41.4,58.7
71941.01999999999,2012,CA,15,41.0,59.10000000000001
33656.7,2012,CA,16,11.1,88.8
82975.68,2012,CA,17,52.0,47.9
86229.95999999999,2012,CA,18,58.099999999999994,41.800000000000004
57326.369999999995,2012,CA,19,32.0,68.0
42904.89,2012,CA,20,27.4,72.6
29667.809999999998,2012,CA,21,7.800000000000001,92.2
44688.54,2012,CA,22,23.6,76.5
50814.99,2012,CA,23,19.1,81.0
49189.259999999995,2012,CA,24,31.5,68.39999999999999
59705.03999999999,2012,CA,25,28.1,71.9
49840.68,2012,CA,26,31.2,68.8
56449.35,2012,CA,27,40.7,59.300000000000004
51833.009999999995,2012,CA,28,41.2,58.699999999999996
36420.299999999996,2012,CA,29,20.3,79.70000000000002
57193.829999999994,2012,CA,30,42.4,57.8
45667.079999999994,2012,CA,31,22.299999999999997,77.7
43605.659999999996,2012,CA,32,19.5,80.4
85950.78,2012,CA,33,61.300000000000004,38.6
30745.05,2012,CA,34,21.9,78.10000000000001
40530.45,2012,CA,35,13.8,86.2
37931.82,2012,CA,36,20.3,79.6
45548.64,2012,CA,37,36.5,63.39999999999999
49575.6,2012,CA,38,21.9,78.1
57781.799999999996,2012,CA,39,38.9,61.099999999999994
30458.82,2012,CA,40,9.100000000000001,90.89999999999999
