Education<9th,HSNoDiploma,HSGraduate,SomeCollege,Associates,Bachelors,Graduate,MedianEarnings,year,state_po,district
4.7,10.3,33.3,22.6,7.7,13.9,7.6,44822.88,2012,AL,1
6.0,12.3,32.2,21.9,7.9,12.9,6.7,42884.64,2012,AL,2
6.3,13.8,31.5,20.8,7.1,12.5,8.1,43377.119999999995,2012,AL,3
8.4,15.0,33.8,22.2,7.6,8.0,5.0,40695.84,2012,AL,4
4.8,9.5,29.3,22.6,6.8,16.5,10.5,45312.479999999996,2012,AL,5
4.2,7.5,25.3,22.4,7.2,21.1,12.3,53923.68,2012,AL,6
4.9,14.9,31.5,23.2,7.5,10.5,7.5,38226.24,2012,AL,7
3.1,5.2,28.1,29.9,7.4,16.9,9.5,58769.28,2012,AK,0
6.1,9.0,28.7,27.7,8.3,12.9,7.4,40446.72,2012,AZ,1
3.5,6.7,28.5,29.7,9.1,15.1,7.4,48477.6,2012,AZ,2
4.1,6.6,21.3,25.6,7.5,23.3,11.6,54023.04,2012,AZ,3
17.8,15.6,27.2,20.3,5.3,9.2,4.6,36465.119999999995,2012,AZ,4
2.7,3.4,17.4,25.3,8.5,25.7,17.0,57353.759999999995,2012,AZ,5
3.9,5.9,23.3,27.4,9.9,20.2,9.3,53475.84,2012,AZ,6
12.0,14.5,27.6,23.5,6.9,9.8,5.8,36397.439999999995,2012,AZ,7
3.3,5.1,21.5,27.7,9.4,19.8,13.2,47092.32,2012,AZ,8
6.9,11.5,40.2,20.8,5.4,10.2,5.0,38292.479999999996,2012,AR,1
4.3,8.6,31.1,22.8,6.2,17.2,9.8,47371.68,2012,AR,2
7.5,8.8,32.8,22.2,5.7,14.9,8.1,41669.28,2012,AR,3
6.1,11.5,39.7,21.9,5.9,9.4,5.4,36652.32,2012,AR,4
7.2,7.8,23.0,24.2,8.1,18.6,11.2,46920.96,2012,CA,1
6.3,8.6,25.2,29.9,10.1,13.4,6.6,42409.439999999995,2012,CA,2
3.7,5.9,22.3,28.2,10.1,19.1,10.7,58916.159999999996,2012,CA,3
2.9,5.3,20.9,29.9,10.4,20.7,9.8,53854.56,2012,CA,4
10.3,8.5,22.5,26.2,8.3,16.0,8.1,45830.88,2012,CA,5
5.2,5.3,18.5,23.1,8.0,24.7,15.3,57617.28,2012,CA,6
8.3,7.7,24.2,25.3,8.0,18.8,7.7,53807.04,2012,CA,7
9.2,5.6,14.1,14.8,4.9,31.8,19.6,65289.6,2012,CA,8
9.3,6.4,16.0,18.2,5.4,23.7,21.0,57594.24,2012,CA,9
