year,state_po,district,republican_victory,republican_president,midterm,pvi
2012,AL,1,True,False,False,14.63
2012,AL,2,True,False,False,18.21
2012,AL,3,True,False,False,15.91
2012,AL,4,True,False,False,25.14
2012,AL,5,True,False,False,15.45
2012,AL,6,True,False,False,27.94
2012,AL,7,False,False,False,-17.78
2012,AK,0,True,False,False,14.06
2012,AZ,1,False,False,False,3.91
2012,AZ,2,False,False,False,2.91
2012,AZ,3,False,False,False,-5.83
2012,AZ,4,True,False,False,17.33
2012,AZ,5,True,False,False,16.42
2012,AZ,6,True,False,False,11.11
2012,AZ,7,False,False,False,-11.91
2012,AZ,8,True,False,False,13.84
2012,AZ,9,False,False,False,1.27
2012,AR,1,True,False,False,10.05
2012,AR,2,True,False,False,6.55
2012,AR,3,True,False,False,17.32
2012,AR,4,True,False,False,12.15
2012,CA,1,True,False,False,9.85
2012,CA,2,False,False,False,-19.67
2012,CA,3,False,False,False,-1.92
2012,CA,4,True,False,False,9.92
2012,CA,5,False,False,False,-18.55
2012,CA,6,False,False,False,-14.61
2012,CA,7,False,False,False,1.93
2012,CA,8,True,False,False,11.17
2012,CA,9,False,False,False,-3.18
2012,CA,10,True,False,False,3.51
2012,CA,11,False,False,False,-16.94
2012,CA,12,False,False,False,-33.9
2012,CA,13,False,False,False,-36.69
2012,CA,14,False,False,False,-22.46
2012,CA,15,False,False,False,-14.91
2012,CA,16,False,False,False,-3.69
2012,CA,17,False,False,False,-17.54
2012,CA,18,False,False,False,-18.11
2012,CA,19,False,False,False,-16.0
2012,CA,20,False,False,False,-19.39
2012,CA,21,True,False,False,2.03
2012,CA,22,True,False,False,11.31
2012,CA,23,True,False,False,17.1
2012,CA,24,False,False,False,-3.73
2012,CA,25,True,False,False,4.53
2012,CA,26,False,False,False,-3.2
2012,CA,27,False,False,False,-9.01
2012,CA,28,False,False,False,-18.73
2012,CA,29,False,False,False,-22.33
2012,CA,30,False,False,False,-13.51
2012,CA,31,True,False,False,-3.05
2012,CA,32,False,False,False,-9.37
2012,CA,33,False,False,False,-11.77
2012,CA,34,False,False,False,-27.67
2012,CA,35,False,False,False,-11.67
2012,CA,36,False,False,False,2.77
2012,CA,37,False,False,False,-32.84
2012,CA,38,False,False,False,-8.85
2012,CA,39,True,False,False,5.91
2012,CA,40,False,False,False,-25.87
2012,CA,41,False,False,False,-5.18
2012,CA,42,True,False,False,10.77
2012,CA,43,False,False,False,-23.42
2012,CA,44,False,False,False,-29.53
2012,CA,45,True,False,False,7.16
2012,CA,46,False,False,False,-4.47
2012,CA,47,False,False,False,-5.39
2012,CA,48,True,False,False,7.03
2012,CA,49,True,False,False,4.05
2012,CA,50,True,False,False,13.86
2012,CA,51,False,False,False,-12.18
2012,CA,52,False,False,False,-1.89
2012,CA,53,False,False,False,-7.86
2012,CO,1,False,False,False,-17.86
2012,CO,2,False,False,False,-8.2
2012,CO,3,True,False,False,4.38
2012,CO,4,True,False,False,11.65
2012,CO,5,True,False,False,13.99
2012,CO,6,True,False,False,0.27
2012,CO,7,False,False,False,-4.06
2012,CT,1,False,False,False,-12.63
2012,CT,2,False,False,False,-5.9
2012,CT,3,False,False,False,-9.51
2012,CT,4,False,False,False,-5.78
2012,CT,5,False,False,False,-2.91
2012,DE,0,False,False,False,-7.98
2012,FL,1,True,False,False,21.31
2012,FL,2,True,False,False,4.78
2012,FL,3,True,False,False,13.01
2012,FL,4,True,False,False,19.21
2012,FL,5,False,False,False,-18.39
2012,FL,6,True,False,False,6.79
2012,FL,7,True,False,False,4.46
2012,FL,8,True,False,False,8.84
2012,FL,9,False,False,False,-5.23
2012,FL,10,True,False,False,6.37
2012,FL,11,True,False,False,9.16
2012,FL,12,True,False,False,6.23
2012,FL,13,True,False,False,1.48
2012,FL,14,False,False,False,-11.63
2012,FL,15,True,False,False,7.7
2012,FL,16,True,False,False,4.83
2012,FL,17,True,False,False,9.87
2012,FL,18,False,False,False,1.56
2012,FL,19,True,False,False,10.96
2012,FL,20,False,False,False,-27.78
2012,FL,21,False,False,False,-11.22
2012,FL,22,False,False,False,-4.42
2012,FL,23,False,False,False,-8.9
2012,FL,24,False,False,False,-32.57
2012,FL,25,True,False,False,7.25
2012,FL,26,False,False,False,3.34
2012,FL,27,True,False,False,4.93
2012,GA,1,True,False,False,9.06
2012,GA,2,False,False,False,-4.23
2012,GA,3,True,False,False,19.17
2012,GA,4,False,False,False,-18.29
2012,GA,5,False,False,False,-31.19
2012,GA,6,True,False,False,13.73
2012,GA,7,True,False,False,15.28
2012,GA,8,True,False,False,15.11
2012,GA,9,True,False,False,27.98
2012,GA,10,True,False,False,12.8
2012,GA,11,True,False,False,18.9
2012,GA,12,False,False,False,9.39
2012,GA,13,False,False,False,-12.5
2012,GA,14,True,False,False,24.51
2012,HI,1,False,False,False,-14.14
2012,HI,2,False,False,False,-17.59
2012,ID,1,True,False,False,17.93
2012,ID,2,True,False,False,16.15
2012,IL,1,False,False,False,-27.74
2012,IL,2,False,False,False,-27.62
2012,IL,3,False,False,False,-5.29
2012,IL,4,False,False,False,-27.0
2012,IL,5,False,False,False,-16.68
2012,IL,6,True,False,False,3.22
2012,IL,7,False,False,False,-36.49
2012,IL,8,False,False,False,-7.32
2012,IL,9,False,False,False,-15.42
2012,IL,10,False,False,False,-8.78
2012,IL,11,False,False,False,-7.41
2012,IL,12,False,False,False,-2.13
2012,IL,13,True,False,False,-1.47
2012,IL,14,True,False,False,4.64
2012,IL,15,True,False,False,10.42
2012,IL,16,True,False,False,3.37
2012,IL,17,False,False,False,-6.78
2012,IL,18,True,False,False,9.52
2012,IN,1,False,False,False,-9.8
2012,IN,2,True,False,False,5.23
2012,IN,3,True,False,False,11.85
2012,IN,4,True,False,False,10.7
2012,IN,5,True,False,False,8.74
2012,IN,6,True,False,False,10.63
2012,IN,7,False,False,False,-11.18
2012,IN,8,True,False,False,6.29
2012,IN,9,True,False,False,7.98
2012,IA,1,False,False,False,-5.28
2012,IA,2,False,False,False,-4.19
2012,IA,3,True,False,False,0.75
2012,IA,4,True,False,False,4.48
2012,KS,1,True,False,False,21.84
2012,KS,2,True,False,False,7.31
2012,KS,3,True,False,False,4.68
2012,KS,4,True,False,False,13.62
2012,KY,1,True,False,False,15.29
2012,KY,2,True,False,False,15.7
2012,KY,3,False,False,False,-2.97
2012,KY,4,True,False,False,15.67
2012,KY,5,True,False,False,18.52
2012,KY,6,True,False,False,7.58
2012,LA,1,True,False,False,25.7
2012,LA,2,False,False,False,-21.34
2012,LA,3,True,False,False,16.79
2012,LA,4,True,False,False,11.91
2012,LA,5,True,False,False,14.83
2012,LA,6,True,False,False,20.5
2012,ME,1,False,False,False,-8.23
2012,ME,2,False,False,False,-2.16
2012,MD,1,True,False,False,14.23
2012,MD,2,False,False,False,-7.65
2012,MD,3,False,False,False,-7.52
2012,MD,4,False,False,False,-23.87
2012,MD,5,False,False,False,-11.4
2012,MD,6,False,False,False,-2.92
2012,MD,7,False,False,False,-23.24
2012,MD,8,False,False,False,-10.12
2012,MA,1,False,False,False,-12.66
2012,MA,2,False,False,False,-9.19
2012,MA,3,False,False,False,-6.87
2012,MA,4,False,False,False,-7.73
2012,MA,5,False,False,False,-15.08
2012,MA,6,False,False,False,-5.17
2012,MA,7,False,False,False,-30.13
2012,MA,8,False,False,False,-7.75
2012,MA,9,False,False,False,-6.31
2012,MI,1,True,False,False,3.32
2012,MI,2,True,False,False,6.07
2012,MI,3,True,False,False,4.01
2012,MI,4,True,False,False,3.49
2012,MI,5,False,False,False,-10.27
2012,MI,6,True,False,False,0.53
2012,MI,7,True,False,False,2.39
2012,MI,8,True,False,False,1.48
2012,MI,9,False,False,False,-5.22
2012,MI,10,True,False,False,4.97
2012,MI,11,True,False,False,3.2
2012,MI,12,False,False,False,-14.19
2012,MI,13,False,False,False,-33.56
2012,MI,14,False,False,False,-27.69
2012,MN,1,False,False,False,1.26
2012,MN,2,True,False,False,1.89
2012,MN,3,True,False,False,1.83
2012,MN,4,False,False,False,-10.5
2012,MN,5,False,False,False,-21.51
2012,MN,6,True,False,False,8.92
2012,MN,7,False,False,False,5.34
2012,MN,8,False,False,False,-1.64
2012,MS,1,True,False,False,15.62
2012,MS,2,False,False,False,-10.46
2012,MS,3,True,False,False,14.87
2012,MS,4,True,False,False,21.15
2012,MO,1,False,False,False,-27.42
2012,MO,2,True,False,False,6.68
2012,MO,3,True,False,False,9.9
2012,MO,4,True,False,False,10.91
2012,MO,5,False,False,False,-9.44
2012,MO,6,True,False,False,9.39
2012,MO,7,True,False,False,17.41
2012,MO,8,True,False,False,13.72
2012,MT,0,True,False,False,5.96
2012,NE,1,True,False,False,9.79
2012,NE,2,True,False,False,4.91
2012,NE,3,True,False,False,22.27
2012,NV,1,False,False,False,-11.87
2012,NV,2,True,False,False,3.97
2012,NV,3,True,False,False,-0.24
2012,NV,4,False,False,False,-3.21
2012,NH,1,False,False,False,0.31
2012,NH,2,False,False,False,-3.04
2012,NJ,1,False,False,False,-11.75
2012,NJ,2,True,False,False,-0.31
2012,NJ,3,True,False,False,1.85
2012,NJ,4,True,False,False,7.41
2012,NJ,5,True,False,False,4.37
2012,NJ,6,False,False,False,-5.67
2012,NJ,7,True,False,False,5.78
2012,NJ,8,False,False,False,-19.92
2012,NJ,9,False,False,False,-11.07
2012,NJ,10,False,False,False,-31.37
2012,NJ,11,True,False,False,5.8
2012,NJ,12,False,False,False,-12.55
2012,NM,1,False,False,False,-5.89
2012,NM,2,True,False,False,5.24
2012,NM,3,False,False,False,-7.64
2012,NY,1,False,False,False,1.15
2012,NY,2,True,False,False,1.38
2012,NY,3,False,False,False,-1.43
2012,NY,4,False,False,False,-2.84
2012,NY,5,False,False,False,-32.72
2012,NY,6,False,False,False,-11.33
2012,NY,7,False,False,False,-31.27
2012,NY,8,False,False,False,-32.83
2012,NY,9,False,False,False,-31.12
2012,NY,10,False,False,False,-23.41
2012,NY,11,True,False,False,4.69
2012,NY,12,False,False,False,-27.57
2012,NY,13,False,False,False,-40.42
2012,NY,14,False,False,False,-23.03
2012,NY,15,False,False,False,-40.97
2012,NY,16,False,False,False,-19.59
2012,NY,17,False,False,False,-5.03
2012,NY,18,False,False,False,1.44
2012,NY,19,True,False,False,-0.17
2012,NY,20,False,False,False,-6.14
2012,NY,21,False,False,False,1.35
2012,NY,22,True,False,False,3.41
2012,NY,23,True,False,False,3.35
2012,NY,24,False,False,False,-3.51
