MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad,MedianAge,Hispanic,White,Black,NativeAmerican,Asian,republican_victory,republican_president,midterm,pvi
43196.76,2012,AL,1,22.2,77.89999999999999,38.7,2.9,65.6,27.6,1.1,1.4,True,False,False,14.63
43370.19,2012,AL,2,21.6,78.3,37.8,3.4,63.4,29.8,0.3,1.3,True,False,False,18.21
43306.74,2012,AL,3,20.200000000000003,79.7,37.3,2.7,68.8,25.8,0.3,1.3,True,False,False,15.91
42381.78,2012,AL,4,15.2,84.7,40.6,5.0,84.6,7.1,0.5,0.7,True,False,False,25.14
47831.43,2012,AL,5,30.1,69.9,38.9,4.9,73.6,17.0,0.7,1.4,True,False,False,15.45
52853.85,2012,AL,6,34.0,66.0,38.6,5.0,77.8,14.0,0.2,1.8,True,False,False,27.94
38101.02,2012,AL,7,19.0,81.0,35.5,3.1,32.3,63.1,0.1,0.6,False,False,False,-17.78
58216.08,2012,AK,0,28.0,71.9,33.8,6.0,63.0,3.4,13.8,5.8,True,False,False,14.06
44568.69,2012,AZ,1,23.1,76.8,36.3,21.3,49.3,2.2,23.5,1.6,False,False,False,3.91
43561.95,2012,AZ,2,32.2,67.8,40.6,26.2,63.5,4.4,0.8,2.4,False,False,False,2.91
38453.52,2012,AZ,3,15.7,84.3,30.1,63.6,26.2,4.4,2.9,1.7,False,False,False,-5.83
40641.84,2012,AZ,4,18.7,81.4,45.7,17.5,76.4,1.5,1.5,1.1,True,False,False,17.33
57446.22,2012,AZ,5,33.0,66.89999999999999,37.8,18.0,73.0,2.5,0.6,3.8,True,False,False,16.42
56964.0,2012,AZ,6,41.5,58.5,40.8,14.4,75.2,2.5,1.4,4.4,True,False,False,11.11
35692.74,2012,AZ,7,14.4,85.60000000000001,29.0,63.8,21.1,9.2,2.3,2.2,False,False,False,-11.91
52942.68,2012,AZ,8,27.7,72.3,40.5,19.1,70.5,4.5,0.5,3.5,True,False,False,13.84
50599.26,2012,AZ,9,35.9,64.10000000000001,32.7,27.4,57.1,4.9,2.7,4.7,False,False,False,1.27
38361.87,2012,AR,1,15.1,84.80000000000001,39.4,2.9,76.8,17.9,0.3,0.4,True,False,False,10.05
47588.91,2012,AR,2,28.3,71.8,36.4,5.0,69.7,22.0,0.3,1.6,True,False,False,6.55
41709.21,2012,AR,3,23.9,75.99999999999999,35.0,13.2,77.2,2.6,0.9,2.6,True,False,False,17.32
39544.86,2012,AR,4,16.6,83.4,40.5,5.5,71.8,20.0,0.6,0.6,True,False,False,12.15
42873.87,2012,CA,1,22.0,78.1,42.3,12.9,78.2,1.4,1.7,2.6,True,False,False,9.85
52134.75,2012,CA,2,38.9,61.1,43.0,16.7,72.0,1.8,1.7,4.1,False,False,False,-19.67
50820.63,2012,CA,3,23.8,76.1,34.6,28.4,49.6,4.9,0.6,11.3,False,False,False,-1.92
56553.69,2012,CA,4,30.3,69.7,43.7,12.3,77.5,1.1,1.1,4.8,True,False,False,9.92
52078.35,2012,CA,5,29.2,70.9,39.7,27.5,52.1,6.0,0.4,10.0,False,False,False,-18.55
46154.94,2012,CA,6,25.3,74.69999999999999,33.4,27.2,38.9,12.4,0.3,15.1,False,False,False,-14.61
57395.46,2012,CA,7,31.2,68.89999999999999,36.9,16.2,55.2,7.1,0.7,14.7,False,False,False,1.93
45488.01,2012,CA,8,14.5,85.5,33.6,35.7,48.7,9.7,1.0,2.6,True,False,False,11.17
46243.77,2012,CA,9,20.1,80.0,33.5,38.5,34.8,8.1,0.5,13.8,False,False,False,-3.18
45361.11,2012,CA,10,16.8,83.1,34.0,41.2,45.5,3.1,0.4,6.1,True,False,False,3.51
63743.28,2012,CA,11,41.5,58.4,39.0,25.5,48.1,9.0,0.3,12.8,False,False,False,-16.94
71905.76999999999,2012,CA,12,55.1,44.89999999999999,38.3,14.6,44.1,5.6,0.2,31.0,False,False,False,-33.9
57045.78,2012,CA,13,44.900000000000006,55.1,36.6,22.1,34.1,17.6,0.4,20.2,False,False,False,-36.69
63754.56,2012,CA,14,41.4,58.7,39.8,24.7,35.3,3.1,0.1,31.8,False,False,False,-22.46
71941.01999999999,2012,CA,15,41.0,59.10000000000001,37.5,23.0,36.2,6.5,0.3,28.3,False,False,False,-14.91
33656.7,2012,CA,16,11.1,88.8,29.4,59.1,22.7,5.9,0.5,9.5,False,False,False,-3.69
82975.68,2012,CA,17,52.0,47.9,36.4,17.2,25.1,2.9,0.3,51.1,False,False,False,-17.54
86229.95999999999,2012,CA,18,58.1,41.8,39.4,17.5,56.4,1.7,0.2,19.9,False,False,False,-18.11
57326.37,2012,CA,19,32.0,68.0,35.1,40.8,26.7,2.6,0.2,26.2,False,False,False,-16.0
42904.89,2012,CA,20,27.4,72.6,33.5,51.7,38.3,1.9,0.2,5.3,False,False,False,-19.39
29667.81,2012,CA,21,7.800000000000001,92.2,28.5,72.7,18.3,4.0,0.5,2.9,True,False,False,2.03
44688.54,2012,CA,22,23.6,76.5,31.4,45.1,42.4,2.8,0.4,7.0,True,False,False,11.31
50814.99,2012,CA,23,19.1,81.0,33.6,37.2,49.3,5.1,0.8,5.2,True,False,False,17.1
49189.26,2012,CA,24,31.5,68.39999999999999,35.6,35.1,55.9,1.7,0.3,4.5,False,False,False,-3.73
59705.03999999999,2012,CA,25,28.1,71.9,34.7,37.9,43.5,6.4,0.2,8.1,True,False,False,4.53
49840.68,2012,CA,26,31.2,68.8,36.3,44.4,44.7,1.7,0.2,6.4,False,False,False,-3.2
56449.35,2012,CA,27,40.7,59.3,41.1,26.9,29.2,4.3,0.1,36.7,False,False,False,-9.01
51833.01,2012,CA,28,41.2,58.7,38.4,28.1,53.6,2.6,0.2,12.3,False,False,False,-18.73
36420.3,2012,CA,29,20.3,79.70000000000002,32.6,67.7,18.2,3.7,0.3,8.5,False,False,False,-22.33
57193.83,2012,CA,30,42.4,57.8,39.0,28.4,51.0,4.5,0.1,11.9,False,False,False,-13.51
45667.08,2012,CA,31,22.3,77.7,31.5,52.1,27.4,9.4,0.4,8.0,True,False,False,-3.05
43605.66,2012,CA,32,19.5,80.4,34.4,62.3,17.4,2.7,0.2,15.5,False,False,False,-9.37
85950.78,2012,CA,33,61.3,38.6,41.4,11.7,67.8,2.7,0.2,12.8,False,False,False,-11.77
30745.05,2012,CA,34,21.9,78.10000000000001,34.0,65.7,10.0,3.8,0.0,19.1,False,False,False,-27.67
40530.45,2012,CA,35,13.8,86.2,30.6,69.8,15.5,6.4,0.3,6.2,False,False,False,-11.67
37931.82,2012,CA,36,20.3,79.6,39.1,46.5,43.1,4.3,0.7,3.3,False,False,False,2.77
45548.64,2012,CA,37,36.5,63.39999999999999,35.4,35.2,25.2,25.6,0.1,10.2,False,False,False,-32.84
49575.6,2012,CA,38,21.9,78.1,35.8,60.5,17.4,4.0,0.3,15.8,False,False,False,-8.85
57781.8,2012,CA,39,38.9,61.1,38.0,32.6,32.3,1.7,0.2,30.4,True,False,False,5.91
30458.82,2012,CA,40,9.1,90.9,29.7,87.1,5.3,4.5,0.0,2.5,False,False,False,-25.87
42173.1,2012,CA,41,17.1,82.89999999999999,30.1,58.3,24.9,9.0,0.4,4.8,False,False,False,-5.18
57062.7,2012,CA,42,22.5,77.5,34.1,37.7,45.1,4.9,0.4,8.2,True,False,False,10.77
43454.79,2012,CA,43,24.0,75.89999999999999,33.9,46.9,14.4,23.4,0.1,12.3,False,False,False,-23.42
37025.19,2012,CA,44,11.4,88.60000000000001,29.8,70.9,6.8,14.8,0.2,4.7,False,False,False,-29.53
74244.95999999999,2012,CA,45,52.1,47.900000000000006,38.5,18.6,53.3,1.5,0.1,22.5,True,False,False,7.16
37360.77,2012,CA,46,16.8,83.19999999999999,30.6,66.4,19.3,1.6,0.2,11.1,False,False,False,-4.47
50411.73,2012,CA,47,30.6,69.5,36.5,34.6,32.7,7.1,0.3,20.6,False,False,False,-5.39
65588.97,2012,CA,48,43.2,56.8,40.3,21.2,57.1,1.0,0.2,17.3,True,False,False,7.03
55782.42,2012,CA,49,40.4,59.6,36.8,27.2,61.2,2.2,0.4,6.2,True,False,False,4.05
49193.49,2012,CA,50,25.200000000000003,74.8,36.5,28.4,60.4,2.6,0.6,5.0,True,False,False,13.86
36079.08,2012,CA,51,12.7,87.3,30.8,68.6,13.7,6.5,0.4,9.0,False,False,False,-12.18
70863.78,2012,CA,52,56.1,43.8,36.3,13.7,59.5,2.9,0.4,19.7,False,False,False,-1.89
54156.69,2012,CA,53,34.4,65.60000000000001,34.2,33.4,41.3,8.0,0.1,12.2,False,False,False,-7.86
52951.14,2012,CO,1,44.5,55.6,34.5,28.3,57.1,8.7,0.5,3.1,False,False,False,-17.86
57440.58,2012,CO,2,52.4,47.7,37.5,9.8,84.0,0.7,0.2,2.9,False,False,False,-8.2
43677.57,2012,CO,3,29.1,70.9,39.6,24.4,71.2,0.9,1.4,0.6,True,False,False,4.38
52275.75,2012,CO,4,32.3,67.60000000000001,36.3,21.8,72.9,1.5,0.6,1.7,True,False,False,11.65
49706.73,2012,CO,5,33.2,66.7,35.3,14.9,72.8,5.6,0.5,2.3,True,False,False,13.99
57141.66,2012,CO,6,39.7,60.3,35.6,20.1,62.5,9.0,0.3,5.5,True,False,False,0.27
52382.91,2012,CO,7,30.5,69.5,36.1,27.6,65.5,1.1,0.6,3.2,False,False,False,-4.06
59014.14,2012,CT,1,34.5,65.5,40.8,15.1,63.8,13.9,0.2,4.7,False,False,False,-12.63
59595.06,2012,CT,2,34.0,66.0,41.3,7.3,83.4,3.5,0.2,3.4,False,False,False,-5.9
