MedianAge,Hispanic,White,Black,NativeAmerican,Asian,year,state_po,district
38.7,2.9,65.6,27.6,1.1,1.4,2012,AL,1
37.8,3.4,63.4,29.8,0.3,1.3,2012,AL,2
37.3,2.7,68.8,25.8,0.3,1.3,2012,AL,3
40.6,5.0,84.6,7.1,0.5,0.7,2012,AL,4
38.9,4.9,73.6,17.0,0.7,1.4,2012,AL,5
38.6,5.0,77.8,14.0,0.2,1.8,2012,AL,6
35.5,3.1,32.3,63.1,0.1,0.6,2012,AL,7
33.8,6.0,63.0,3.4,13.8,5.8,2012,AK,0
36.3,21.3,49.3,2.2,23.5,1.6,2012,AZ,1
40.6,26.2,63.5,4.4,0.8,2.4,2012,AZ,2
30.1,63.6,26.2,4.4,2.9,1.7,2012,AZ,3
45.7,17.5,76.4,1.5,1.5,1.1,2012,AZ,4
37.8,18.0,73.0,2.5,0.6,3.8,2012,AZ,5
40.8,14.4,75.2,2.5,1.4,4.4,2012,AZ,6
29.0,63.8,21.1,9.2,2.3,2.2,2012,AZ,7
40.5,19.1,70.5,4.5,0.5,3.5,2012,AZ,8
32.7,27.4,57.1,4.9,2.7,4.7,2012,AZ,9
39.4,2.9,76.8,17.9,0.3,0.4,2012,AR,1
36.4,5.0,69.7,22.0,0.3,1.6,2012,AR,2
35.0,13.2,77.2,2.6,0.9,2.6,2012,AR,3
40.5,5.5,71.8,20.0,0.6,0.6,2012,AR,4
42.3,12.9,78.2,1.4,1.7,2.6,2012,CA,1
43.0,16.7,72.0,1.8,1.7,4.1,2012,CA,2
34.6,28.4,49.6,4.9,0.6,11.3,2012,CA,3
43.7,12.3,77.5,1.1,1.1,4.8,2012,CA,4
39.7,27.5,52.1,6.0,0.4,10.0,2012,CA,5
33.4,27.2,38.9,12.4,0.3,15.1,2012,CA,6
36.9,16.2,55.2,7.1,0.7,14.7,2012,CA,7
33.6,35.7,48.7,9.7,1.0,2.6,2012,CA,8
33.5,38.5,34.8,8.1,0.5,13.8,2012,CA,9
34.0,41.2,45.5,3.1,0.4,6.1,2012,CA,10
39.0,25.5,48.1,9.0,0.3,12.8,2012,CA,11
38.3,14.6,44.1,5.6,0.2,31.0,2012,CA,12
36.6,22.1,34.1,17.6,0.4,20.2,2012,CA,13
39.8,24.7,35.3,3.1,0.1,31.8,2012,CA,14
37.5,23.0,36.2,6.5,0.3,28.3,2012,CA,15
29.4,59.1,22.7,5.9,0.5,9.5,2012,CA,16
36.4,17.2,25.1,2.9,0.3,51.1,2012,CA,17
39.4,17.5,56.4,1.7,0.2,19.9,2012,CA,18
35.1,40.8,26.7,2.6,0.2,26.2,2012,CA,19
33.5,51.7,38.3,1.9,0.2,5.3,2012,CA,20
28.5,72.7,18.3,4.0,0.5,2.9,2012,CA,21
31.4,45.1,42.4,2.8,0.4,7.0,2012,CA,22
33.6,37.2,49.3,5.1,0.8,5.2,2012,CA,23
35.6,35.1,55.9,1.7,0.3,4.5,2012,CA,24
34.7,37.9,43.5,6.4,0.2,8.1,2012,CA,25
36.3,44.4,44.7,1.7,0.2,6.4,2012,CA,26
41.1,26.9,29.2,4.3,0.1,36.7,2012,CA,27
38.4,28.1,53.6,2.6,0.2,12.3,2012,CA,28
32.6,67.7,18.2,3.7,0.3,8.5,2012,CA,29
39.0,28.4,51.0,4.5,0.1,11.9,2012,CA,30
31.5,52.1,27.4,9.4,0.4,8.0,2012,CA,31
34.4,62.3,17.4,2.7,0.2,15.5,2012,CA,32
41.4,11.7,67.8,2.7,0.2,12.8,2012,CA,33
34.0,65.7,10.0,3.8,0.0,19.1,2012,CA,34
30.6,69.8,15.5,6.4,0.3,6.2,2012,CA,35
39.1,46.5,43.1,4.3,0.7,3.3,2012,CA,36
35.4,35.2,25.2,25.6,0.1,10.2,2012,CA,37
35.8,60.5,17.4,4.0,0.3,15.8,2012,CA,38
38.0,32.6,32.3,1.7,0.2,30.4,2012,CA,39
29.7,87.1,5.3,4.5,0.0,2.5,2012,CA,40
30.1,58.3,24.9,9.0,0.4,4.8,2012,CA,41
34.1,37.7,45.1,4.9,0.4,8.2,2012,CA,42
33.9,46.9,14.4,23.4,0.1,12.3,2012,CA,43
29.8,70.9,6.8,14.8,0.2,4.7,2012,CA,44
38.5,18.6,53.3,1.5,0.1,22.5,2012,CA,45
30.6,66.4,19.3,1.6,0.2,11.1,2012,CA,46
36.5,34.6,32.7,7.1,0.3,20.6,2012,CA,47
40.3,21.2,57.1,1.0,0.2,17.3,2012,CA,48
36.8,27.2,61.2,2.2,0.4,6.2,2012,CA,49
36.5,28.4,60.4,2.6,0.6,5.0,2012,CA,50
30.8,68.6,13.7,6.5,0.4,9.0,2012,CA,51
36.3,13.7,59.5,2.9,0.4,19.7,2012,CA,52
34.2,33.4,41.3,8.0,0.1,12.2,2012,CA,53
34.5,28.3,57.1,8.7,0.5,3.1,2012,CO,1
37.5,9.8,84.0,0.7,0.2,2.9,2012,CO,2
39.6,24.4,71.2,0.9,1.4,0.6,2012,CO,3
36.3,21.8,72.9,1.5,0.6,1.7,2012,CO,4
35.3,14.9,72.8,5.6,0.5,2.3,2012,CO,5
35.6,20.1,62.5,9.0,0.3,5.5,2012,CO,6
36.1,27.6,65.5,1.1,0.6,3.2,2012,CO,7
40.8,15.1,63.8,13.9,0.2,4.7,2012,CT,1
41.3,7.3,83.4,3.5,0.2,3.4,2012,CT,2
40.3,13.3,67.5,12.8,0.3,4.1,2012,CT,3
39.3,18.6,63.3,11.3,0.1,5.1,2012,CT,4
40.4,16.6,72.3,5.7,0.1,3.1,2012,CT,5
39.2,8.6,64.3,20.9,0.3,3.3,2012,DE,0
38.4,5.8,74.2,12.8,0.3,2.6,2012,FL,1
36.6,5.7,65.2,24.5,0.3,1.9,2012,FL,2
38.2,8.5,72.8,13.0,0.2,3.0,2012,FL,3
37.5,8.3,71.3,13.0,0.3,4.1,2012,FL,4
34.2,12.2,31.2,51.3,0.2,2.1,2012,FL,5
46.4,6.8,79.1,10.2,0.2,1.8,2012,FL,6
37.7,20.3,65.9,8.2,0.3,3.5,2012,FL,7
46.9,9.6,76.4,9.5,0.2,2.0,2012,FL,8
34.7,46.4,37.1,9.7,0.2,4.8,2012,FL,9
40.1,17.1,65.6,11.0,0.1,3.4,2012,FL,10
52.1,8.8,79.7,8.4,0.3,1.3,2012,FL,11
45.2,11.9,79.1,4.1,0.3,2.7,2012,FL,12
47.0,9.3,79.1,5.7,0.4,3.5,2012,FL,13
35.1,29.6,40.7,24.5,0.2,2.9,2012,FL,14
37.8,17.0,64.3,12.7,0.3,3.1,2012,FL,15
50.3,11.6,78.5,6.5,0.3,1.7,2012,FL,16
46.7,16.8,70.9,8.8,0.3,1.2,2012,FL,17
46.0,14.9,69.7,11.6,0.1,2.1,2012,FL,18
48.7,17.4,72.1,7.5,0.2,1.5,2012,FL,19
36.4,19.5,23.9,52.0,0.2,2.3,2012,FL,20
44.0,20.9,61.8,11.7,0.1,3.3,2012,FL,21
44.4,21.7,63.1,10.9,0.1,2.0,2012,FL,22
41.1,38.1,45.7,10.1,0.3,3.7,2012,FL,23
34.9,31.5,13.3,52.5,0.1,1.4,2012,FL,24
38.6,71.8,19.3,6.4,0.1,1.6,2012,FL,25
39.9,68.5,19.6,8.9,0.2,1.8,2012,FL,26
40.6,72.0,19.4,6.3,0.0,1.5,2012,FL,27
34.4,6.7,59.9,29.2,0.3,1.8,2012,GA,1
35.5,4.4,41.4,51.2,0.1,1.0,2012,GA,2
38.0,5.5,67.2,23.1,0.5,1.8,2012,GA,3
35.1,8.3,27.0,58.3,0.1,4.7,2012,GA,4
33.2,7.6,28.3,58.6,0.2,3.7,2012,GA,5
36.9,12.3,63.4,12.2,0.2,9.5,2012,GA,6
35.2,19.7,47.7,18.3,0.2,12.1,2012,GA,7
35.7,6.3,60.3,30.3,0.1,1.5,2012,GA,8
39.5,12.0,78.8,6.9,0.2,1.1,2012,GA,9
35.5,5.8,65.9,24.5,0.2,2.1,2012,GA,10
35.7,11.6,68.3,15.2,0.1,2.8,2012,GA,11
34.7,5.6,56.7,34.0,0.2,1.5,2012,GA,12
35.0,11.1,29.0,55.4,0.0,2.6,2012,GA,13
37.0,10.6,78.0,8.6,0.1,0.7,2012,GA,14
