"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 1 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","735,373","709,818","474,348","196,931","4,697","11,190","0","2,487","20,165","2,624","17,541","25,555","3,947","1,224","421","0","0","11,045","8,918","8,318","600"
"Congressional District 2 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","690,107","660,414","409,497","215,636","1,085","7,688","152","2,540","23,816","5,129","18,687","29,693","8,492","1,721","836","42","0","8,593","10,009","8,871","1,138"
"Congressional District 3 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","742,147","718,615","488,306","187,334","1,388","15,043","0","2,427","24,117","2,913","21,204","23,532","4,854","1,193","568","82","0","6,450","10,385","8,995","1,390"
"Congressional District 4 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","708,532","656,700","580,208","45,968","3,099","4,847","43","1,592","20,943","3,094","17,849","51,832","8,727","84","4,045","10","0","26,050","12,916","12,091","825"
"Congressional District 5 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","773,212","728,901","547,548","125,632","3,291","9,926","1,132","1,955","39,417","4,339","35,078","44,311","8,027","1,016","1,461","481","0","13,484","19,842","15,958","3,884"
"Congressional District 6 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","723,686","689,393","537,099","106,977","2,224","13,305","166","2,774","26,848","8,310","18,538","34,293","9,878","835","898","42","0","12,164","10,476","8,460","2,016"
"Congressional District 7 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","666,820","638,602","196,241","419,790","238","5,958","168","2,169","14,038","2,063","11,975","28,218","4,709","765","579","199","0","13,245","8,721","8,015","706"
"Congressional District (at Large) (116th Congress), Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,673","680,382","424,145","21,085","98,626","46,611","10,994","3,744","75,177","8,278","66,899","52,291","10,859","918","1,771","736","177","15,374","22,456","14,729","7,727"
"Congressional District 1 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","774,354","597,337","372,370","22,948","155,671","13,704","1,288","4,235","27,121","5,071","22,050","177,017","40,857","1,565","11,061","433","262","51,608","71,231","59,906","11,325"
"Congressional District 2 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","754,647","519,928","420,546","28,932","6,752","19,672","0","4,897","39,129","7,897","31,232","234,719","62,256","2,662","5,419","785","150","59,221","104,226","94,943","9,283"
"Congressional District 3 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","780,337","291,889","201,488","36,241","20,117","12,500","170","3,225","18,148","3,700","14,448","488,448","77,372","1,776","11,446","406","54","134,396","262,998","250,895","12,103"
"Congressional District 4 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","848,908","656,814","584,565","14,378","7,445","9,862","1,279","2,697","36,588","9,840","26,748","192,094","43,494","465","3,022","816","136","50,373","93,788","86,403","7,385"
"Congressional District 5 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","891,118","718,926","585,875","29,262","3,696","47,806","2,824","4,843","44,620","9,048","35,572","172,192","40,893","1,023","2,772","1,215","139","47,903","78,247","70,093","8,154"
"Congressional District 6 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","786,168","635,384","517,192","24,731","10,033","43,198","974","5,034","34,222","7,201","27,021","150,784","31,928","534","3,920","294","141","36,285","77,682","72,494","5,188"
"Congressional District 7 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","791,774","281,557","144,505","77,846","14,443","19,910","1,161","2,317","21,375","4,519","16,856","510,217","72,045","2,879","4,944","755","146","158,089","271,359","263,158","8,201"
